createtopost,followers_count,bi_followers_count,friends_count,statuses_count,favourites_count,share_ct,comment_ct,attitudes_ct,verified,verified_type,verified_kind,gender,geo_enabled,province,hasURL,emotion,length,realwd,imgwd,engwd,otherwd,is_rumor
806,121068,1702,2310,5955,176,171,28,0,1,celebrity,yellowV,1,1,31,0,3,284,75.61,2.44,0,21.95,FALSE
364,195,41,148,1589,240,92,50,0,0,normal user,normal user,0,1,43,1,-1,321,58.82,10.29,5.88,25,FALSE
1649,14461046,796,1815,86190,33,353,654,878,1,media,blueV,1,1,11,1,2,401,60,15.56,4.44,20,FALSE
596,8712133,1168,1177,4144,899,1520,730,4,0,normal user,normal user,1,0,100,0,0,84,52.94,29.41,0,17.65,FALSE
58,102,30,474,312,0,290,449,2,0,normal user,normal user,0,1,44,1,3,334,59.52,3.57,13.1,23.81,FALSE
712,3077962,11,47,35603,7,1650,147,16,0,normal user,normal user,0,0,100,0,-2,214,18.87,11.32,30.19,39.62,FALSE
490,13762541,298,474,99549,9,630,139,0,1,media,blueV,1,1,11,0,4,387,65.48,13.1,0,21.43,FALSE
961,7492512,347,445,20980,20,275,173,0,1,media,blueV,1,0,43,0,3,228,60.78,9.8,0,29.41,FALSE
1243,38195316,260,293,100396,26,656,281,43,1,media,blueV,0,0,11,1,-3,408,68.83,7.79,5.19,18.18,FALSE
877,359604,775,995,22189,77,537,634,0,1,celebrity,yellowV,1,1,11,0,-3,365,60,21.25,0,18.75,FALSE
714,2087896,705,705,37017,0,1065,172,0,1,celebrity,yellowV,1,1,33,0,0,406,72.09,10.47,0,17.44,FALSE
594,13762541,298,474,99549,9,729,424,11,1,media,blueV,1,1,11,1,0,402,67.86,9.52,4.76,17.86,FALSE
223,5068814,261,485,5335,34,899,179,0,1,celebrity,yellowV,0,1,11,1,3,197,53.19,8.51,21.28,17.02,FALSE
444,618185,2,3,3096,100,422,354,1020,0,normal user,normal user,1,0,400,0,-1,135,62.5,25,0,12.5,FALSE
1208,39074,733,762,82309,11,197,64,0,1,celebrity,yellowV,1,1,61,1,-3,351,45.12,8.54,6.1,40.24,FALSE
130,199688,1571,2238,2247,7,235,61,2,1,celebrity,yellowV,1,0,400,1,2,234,42.11,24.56,7.02,26.32,FALSE
639,12298245,894,1492,88805,389,1348,457,0,1,media,blueV,1,0,11,1,-3,409,58.54,18.29,4.88,18.29,FALSE
278,3570365,0,0,9186,0,1188,1236,109,0,normal user,normal user,1,0,100,0,1,93,65,20,0,15,FALSE
1024,681624,8,8,66598,1022,317,123,5,0,normal user,normal user,1,0,61,0,-4,407,53.06,14.29,2.04,30.61,FALSE
1133,52081,312,907,503,588,1679,795,12,1,celebrity,yellowV,1,1,37,0,0,409,64.71,14.12,0,21.18,FALSE
469,1810035,265,281,2973,1,425,51,0,0,normal user,normal user,1,1,400,0,0,51,20,0,40,40,FALSE
1103,10489461,332,462,20144,106,1787,351,13,1,media,blueV,1,0,44,0,-3,149,48.65,18.92,2.7,29.73,FALSE
559,7540460,66,1116,16178,0,664,124,449,0,normal user,normal user,0,0,11,0,0,98,42.86,25,0,32.14,FALSE
333,1046579,38,135,36388,2606,1002,388,0,0,normal user,normal user,0,0,44,0,0,26,50,25,0,25,FALSE
1431,6564928,24,25,7473,7,377,182,6,1,enterprise,blueV,1,0,11,0,-2,134,55.26,15.79,0,28.95,FALSE
601,14757413,231,260,19637,759,1040,98,13,1,gov,blueV,1,0,11,0,1,415,64.77,14.77,0,20.45,FALSE
1641,6912775,262,317,42190,696,241,356,51,1,media,blueV,1,1,44,1,-2,395,66.3,8.7,8.7,16.3,FALSE
871,317065,199,243,24168,3516,259,41,0,1,media,blueV,1,1,11,1,-4,301,46.05,22.37,5.26,26.32,FALSE
440,202392,294,957,5650,0,516,79,1,0,normal user,normal user,0,1,11,0,2,420,54.84,32.26,0,12.9,FALSE
1065,7021180,1035,1679,29945,348,514,388,5,1,media,blueV,1,1,11,1,-4,395,65.12,6.98,4.65,23.26,FALSE
173,175120,139,191,12428,7,168,16,0,0,normal user,normal user,0,0,400,0,0,156,51.28,7.69,5.13,35.9,FALSE
426,2591,8,33,75,1,1049,188,39,1,org,blueV,0,0,71,0,1,415,63.92,19.59,0,16.49,FALSE
666,6174953,16,28,90614,1033,1416,323,0,1,celebrity,yellowV,0,0,100,0,0,40,50,10,0,40,FALSE
1410,5175334,297,419,27684,40,707,288,705,1,media,blueV,1,1,11,1,2,394,59.77,14.94,6.9,18.39,FALSE
1147,6346,26,272,16811,2,222,27,21,0,normal user,normal user,0,0,400,1,-2,319,42,2,11,45,FALSE
1267,2116382,312,481,19750,210,1029,74,59,0,normal user,normal user,1,0,11,0,-1,415,62.63,22.22,0,15.15,FALSE
474,440909,85,339,15745,1687,411,87,0,0,senior master,master,0,1,33,0,5,396,62.92,24.72,0,12.36,FALSE
1585,14461048,796,1815,86190,33,733,1037,1401,1,media,blueV,1,1,11,1,0,392,59.52,13.1,4.76,22.62,FALSE
1294,1051082,145,492,6118,0,1462,169,531,0,normal user,normal user,1,0,11,0,-5,300,59.42,33.33,0,7.25,FALSE
207,240469,7,16,12268,0,1687,240,0,0,normal user,normal user,0,1,100,0,0,261,48.44,21.88,0,29.69,FALSE
180,1466389,9,46,296560,3,492,75,0,0,normal user,normal user,0,0,400,0,-4,347,52.58,8.25,0,39.18,FALSE
87,918360,18,111,6064,12,105,61,12,0,normal user,normal user,1,0,11,0,0,114,53.57,17.86,0,28.57,FALSE
257,1120309,4,114,7868,4,159,28,0,0,normal user,normal user,0,0,44,0,2,413,50.5,16.83,0,32.67,FALSE
1072,1589,264,892,3437,51,1556,165,91,0,senior master,master,1,1,11,1,-4,400,63.83,15.96,4.26,15.96,FALSE
745,4975,1464,1699,30116,338,87,5,0,0,normal user,normal user,0,1,71,1,1,206,45.45,12.12,9.09,33.33,FALSE
335,242820,1,8,5600,5,1106,146,0,0,normal user,normal user,1,1,35,1,3,367,47.56,25.61,10.98,15.85,FALSE
247,460722,2,42,55737,11,617,88,0,1,celebrity,yellowV,1,1,400,0,4,169,43.59,15.38,5.13,35.9,FALSE
777,716,341,372,3824,1,778,73,0,0,normal user,normal user,1,1,44,0,-1,116,73.08,11.54,0,15.38,FALSE
834,900,87,167,548,76,1630,655,25,0,normal user,normal user,1,1,33,0,-1,410,65.31,16.33,0,18.37,FALSE
984,6517338,77,236,83663,109,810,732,18,1,enterprise,blueV,0,0,11,0,1,54,73.33,6.67,0,20,FALSE
967,682,47,140,8025,0,1182,81,100,0,senior master,master,0,1,35,1,0,222,49.15,10.17,8.47,32.2,FALSE
911,238886,328,438,20814,220,430,46,2,1,enterprise,blueV,1,1,11,0,-2,315,61.76,17.65,0,20.59,FALSE
1235,6026874,798,1172,77747,775,678,70,84,0,normal user,normal user,1,0,11,0,4,397,52.69,27.96,0,19.35,FALSE
1632,3741206,1722,1994,43817,6649,1120,268,315,1,media,blueV,1,0,11,1,-1,405,67.07,8.54,4.88,19.51,FALSE
1192,12298249,894,1492,88805,389,467,258,17,1,media,blueV,1,0,11,0,0,404,66.67,11.54,0,21.79,FALSE
571,1401264,349,726,20013,161,537,92,0,1,enterprise,blueV,1,1,11,1,2,94,45.45,18.18,18.18,18.18,FALSE
1276,3641505,615,928,70235,40769,438,49,19,1,media,blueV,1,1,32,0,2,192,58.97,20.51,0,20.51,FALSE
1359,61367,1363,1897,16363,6,1040,51,19,1,celebrity,yellowV,1,0,11,1,-3,308,60.34,8.62,6.9,24.14,FALSE
1186,1306915,1237,1469,9274,13,1101,390,81,1,celebrity,yellowV,1,0,11,0,3,366,67.44,10.47,0,22.09,FALSE
864,750563,30,37,16516,34,298,170,43,1,enterprise,blueV,0,1,400,0,-2,241,57.41,22.22,0,20.37,FALSE
439,1009002,1967,2891,42759,634,221,34,2,0,normal user,normal user,1,0,31,1,6,395,62.07,13.79,4.6,19.54,FALSE
68,13825,32,1709,561,3,110,91,0,0,normal user,normal user,0,1,11,0,0,415,67.71,19.79,0,12.5,FALSE
875,5453871,536,1049,66454,505,1170,417,28,1,media,blueV,1,1,44,0,-1,388,64.2,11.11,1.23,23.46,FALSE
694,19724,679,1247,12593,146,1016,141,2,1,celebrity,yellowV,0,0,37,0,4,407,67.74,10.75,0,21.51,FALSE
27,1231819,5,19,23295,12,1765,283,0,0,normal user,normal user,0,1,11,0,0,54,57.14,14.29,0,28.57,FALSE
485,2322753,104,383,30562,424,606,62,3,0,normal user,normal user,0,1,11,0,4,177,53.49,11.63,2.33,32.56,FALSE
522,21749,896,939,4020,143,611,107,0,1,celebrity,yellowV,1,1,11,0,2,292,57.53,10.96,5.48,26.03,FALSE
874,7377317,35,37,37459,0,120,92,10,1,gov,blueV,1,1,400,0,5,412,68.29,19.51,0,12.2,FALSE
315,63790,246,264,2552,0,410,127,0,1,celebrity,yellowV,1,0,11,1,1,65,42.11,5.26,21.05,31.58,FALSE
1009,2041499,36,63,1304,6,162,595,104,1,celebrity,yellowV,0,1,81,0,-1,391,55.79,18.95,0,25.26,FALSE
1104,4393576,226,352,33427,64,911,361,6,1,media,blueV,1,0,11,1,2,381,71.62,8.11,6.76,13.51,FALSE
76,166478,9,10,26,0,1223,1413,331,1,celebrity,yellowV,1,1,44,0,3,324,20.95,3.81,27.62,47.62,FALSE
1487,11642216,1312,2008,66390,443,773,175,100,1,media,blueV,1,1,11,0,0,401,48.28,19.54,1.15,31.03,FALSE
1564,5155754,518,709,21745,8656,1276,54,84,0,normal user,normal user,0,0,11,0,-1,417,60.67,22.47,0,16.85,FALSE
593,4019,508,757,41061,4836,481,26,0,0,normal user,normal user,0,0,400,1,-1,352,49.46,19.35,8.6,22.58,FALSE
621,1309187,305,585,33245,1997,325,58,1,0,normal user,normal user,1,0,11,0,-3,246,57.63,20.34,0,22.03,FALSE
898,1459417,136,147,1421,0,432,909,27,1,celebrity,yellowV,1,1,71,0,2,192,45.28,18.87,7.55,28.3,FALSE
561,404906,20,47,111870,6,1463,183,0,0,normal user,normal user,0,1,44,1,-4,126,45.71,17.14,11.43,25.71,FALSE
1042,26024,230,560,34020,4016,1008,51,27,0,senior master,master,0,1,100,0,1,215,44.07,22.03,6.78,27.12,FALSE
1040,1425154,110,195,48377,29,1180,735,49,0,normal user,normal user,0,0,400,0,-1,355,64.04,4.49,0,31.46,FALSE
66,747218,10,32,22180,1128,957,237,0,0,normal user,normal user,0,1,44,0,2,410,71.58,15.79,0,12.63,FALSE
973,8097998,18,42,8339,13,287,163,37,1,enterprise,blueV,1,1,11,0,1,77,60,15,0,25,FALSE
632,12448573,891,1376,91291,59,391,185,0,1,media,blueV,1,0,11,1,3,409,64.63,17.07,4.88,13.41,FALSE
191,1955001,59,179,39926,1,409,126,3,0,normal user,normal user,0,1,11,0,0,167,65.91,4.55,0,29.55,FALSE
124,468450,35,35,13448,7,87,66,1,1,celebrity,yellowV,1,0,31,0,-9,418,61.36,26.14,0,12.5,FALSE
878,169321,23,40,2013,7,1375,120,313,1,website,blueV,0,1,400,1,1,243,50.82,18.03,8.2,22.95,FALSE
918,1889309,1158,1879,15748,396,181,77,12,1,celebrity,yellowV,1,0,400,1,-4,282,47.06,27.94,5.88,19.12,FALSE
735,3458987,18,22,51304,156,671,95,2,0,normal user,normal user,0,1,44,0,6,387,50,33.33,0,16.67,FALSE
1005,517057,241,1007,29088,84,213,140,114,1,media,blueV,0,0,44,0,-3,404,63.04,14.13,0,22.83,FALSE
601,28236683,168,481,46232,189,1888,240,226,1,media,blueV,1,1,11,0,2,413,65.88,11.76,0,22.35,FALSE
1333,19146034,293,918,92503,7029,1393,344,625,0,normal user,normal user,0,0,44,0,0,75,33.33,14.29,0,52.38,FALSE
1064,319970,1067,1995,106821,37,230,41,2,0,normal user,normal user,0,1,31,0,1,69,50,11.11,0,38.89,FALSE
190,386261,22,32,12607,242,285,25,3,0,normal user,normal user,0,0,11,0,-1,414,59.14,17.2,0,23.66,FALSE
348,2007458,203,771,13838,0,238,10,0,0,normal user,normal user,0,1,51,0,2,160,53.49,11.63,0,34.88,FALSE
495,1328,338,555,1399,13,243,66,0,0,normal user,normal user,1,0,34,1,3,289,48.05,16.88,6.49,28.57,FALSE
484,2430,365,537,931,4,81,18,0,0,normal user,normal user,0,1,11,1,2,406,59.14,15.05,5.38,20.43,FALSE
1527,13782039,441,539,56594,2281,1366,540,151,1,media,blueV,1,0,31,1,-4,386,64.04,14.61,4.49,16.85,FALSE
215,2320169,948,1121,16941,4,445,80,2,1,media,blueV,1,1,400,0,-3,381,63.01,13.7,0,23.29,FALSE
964,5622235,174,335,22909,351,92,40,1,1,enterprise,blueV,0,1,11,0,1,384,70.73,15.85,0,13.41,FALSE
896,10865533,236,259,8946,674,782,818,136,1,enterprise,blueV,1,1,11,0,-1,169,70.73,7.32,0,21.95,FALSE
1032,927611,2693,2935,6132,5578,975,29,64,1,celebrity,yellowV,1,0,44,0,-3,419,74.7,9.64,0,15.66,FALSE
884,293153,818,2500,5064,1291,848,120,84,1,website,blueV,1,0,44,0,1,128,57.58,12.12,0,30.3,FALSE
1579,7311707,207,249,36161,13,1424,112,348,1,media,blueV,1,0,81,0,-2,149,59.38,15.62,0,25,FALSE
565,59801,111,113,1999,519,1224,169,90,0,normal user,normal user,1,1,400,1,4,329,49.43,8.05,10.34,32.18,FALSE
1044,5099497,615,984,72927,175,887,210,8,0,normal user,normal user,0,0,11,0,-1,198,45.65,36.96,0,17.39,FALSE
374,30581403,266,687,41841,12,793,84,150,1,media,blueV,1,0,11,0,-2,393,54.32,27.16,0,18.52,FALSE
789,6519,653,843,892,30,165,70,4,1,celebrity,yellowV,1,1,31,0,4,281,70.15,16.42,1.49,11.94,FALSE
1172,2730638,309,361,22040,39,53,258,3,1,media,blueV,1,1,11,0,2,186,56.82,22.73,0,20.45,FALSE
640,1045183,22,286,8361,0,1627,375,586,1,media,blueV,0,1,11,1,1,391,50.53,14.74,11.58,23.16,FALSE
1335,34251,374,1035,5758,3,230,22,31,1,celebrity,yellowV,1,1,11,1,-3,397,64.29,10.71,4.76,20.24,FALSE
376,352159,75,95,323,9,1032,353,4,1,celebrity,yellowV,1,1,31,0,5,291,60.29,27.94,0,11.76,FALSE
767,5408442,1389,1689,26900,774,1419,549,58,1,gov,blueV,1,1,31,0,5,413,64.29,16.67,0,19.05,FALSE
1063,35110023,98,131,5830,29,471,334,15,1,celebrity,yellowV,0,0,11,0,0,416,67.9,19.75,1.23,11.11,FALSE
842,1856313,39,529,9123,143,168,25,0,0,normal user,normal user,0,0,32,0,-5,412,54.65,16.28,0,29.07,FALSE
1102,1889311,1158,1879,15748,396,1155,200,285,1,celebrity,yellowV,1,0,400,0,-2,70,53.33,26.67,0,20,FALSE
492,163453,7,10,20640,0,181,33,30,1,website,blueV,1,0,100,0,4,381,60,21.18,0,18.82,FALSE
760,21959,1427,1685,10038,741,119,103,2,1,campus,blueV,0,1,44,0,6,384,64.04,10.11,1.12,24.72,FALSE
1477,3324433,225,292,16284,913,499,48,78,1,enterprise,blueV,0,1,11,0,1,388,62.22,21.11,0,16.67,FALSE
967,447265,184,360,3272,182,247,88,12,1,celebrity,yellowV,0,0,81,0,2,242,43.4,26.42,0,30.19,FALSE
553,5099497,615,984,72927,175,1256,342,0,0,normal user,normal user,0,0,11,0,0,75,55.56,27.78,0,16.67,FALSE
548,4619,258,394,2670,14,246,57,0,0,normal user,normal user,1,1,11,0,2,335,69.01,5.63,1.41,23.94,FALSE
1326,1664612,846,1069,5826,2728,1806,431,32,1,celebrity,yellowV,1,0,400,0,-2,318,64.71,17.65,0,17.65,FALSE
445,15312,339,406,5370,39,1524,344,6,0,normal user,normal user,1,1,100,0,2,339,61.76,27.94,0,10.29,FALSE
681,1589670,90,182,15206,1856,313,79,0,0,normal user,normal user,0,1,31,0,-2,415,66.36,14.95,0,18.69,FALSE
952,25078516,92,171,11609,191,1443,110,538,1,media,blueV,0,1,11,1,3,206,46.3,18.52,16.67,18.52,FALSE
797,3121240,271,342,12092,53,351,343,743,1,celebrity,yellowV,1,1,11,0,-4,418,78.16,14.94,1.15,5.75,FALSE
376,678565,205,653,10719,57,865,145,47,1,media,blueV,1,1,11,0,1,119,48.15,14.81,0,37.04,FALSE
564,32141900,106,148,74830,16,1543,246,4,1,enterprise,blueV,1,1,11,0,1,253,67.31,5.77,1.92,25,FALSE
560,974537,46,53,25433,68,484,156,119,0,normal user,normal user,1,0,400,0,2,384,52.38,27.38,0,20.24,FALSE
624,628718,1736,1966,121245,0,1733,144,6,0,normal user,normal user,0,1,81,0,-3,216,62.22,17.78,2.22,17.78,FALSE
378,247657,229,342,726,276,1343,140,47,1,enterprise,blueV,1,0,11,1,2,387,45.35,19.77,9.3,25.58,FALSE
369,2099554,7,26,42785,254,1503,179,0,0,normal user,normal user,1,0,11,0,-4,219,50,30,0,20,FALSE
457,567927,15,34,4202,52,215,55,0,0,normal user,normal user,0,0,11,0,1,106,48.15,18.52,0,33.33,FALSE
1000,7763628,831,1383,138151,50,220,100,0,1,media,blueV,1,1,11,1,-1,373,61.18,18.82,5.88,14.12,FALSE
1243,38195322,260,293,100396,26,627,560,32,1,media,blueV,0,0,11,1,-3,402,56.41,15.38,5.13,23.08,FALSE
648,10463241,700,1099,56376,26,215,65,0,1,media,blueV,0,1,11,0,4,336,53.42,12.33,5.48,28.77,FALSE
203,1459380,4,7,6908,2,602,201,38,0,normal user,normal user,0,0,400,0,0,85,61.9,33.33,0,4.76,FALSE
266,485242,423,477,258417,4,1152,18,0,0,normal user,normal user,0,0,31,1,-2,327,53.42,20.55,5.48,20.55,FALSE
483,1059335,2430,2941,59674,5,491,139,0,1,celebrity,yellowV,1,1,11,0,-3,72,66.67,20,0,13.33,FALSE
920,284225,314,895,70487,1472,329,65,4,1,media,blueV,0,1,31,0,0,298,51.39,12.5,2.78,33.33,FALSE
1466,11642251,1312,2008,66390,443,802,74,115,1,media,blueV,1,1,11,0,2,408,55.32,20.21,0,24.47,FALSE
307,1184492,6,33,372310,3,1084,123,7,0,normal user,normal user,0,1,44,1,-6,389,60,16.67,4.44,18.89,FALSE
663,1747,185,286,1076,197,317,108,6,1,celebrity,yellowV,1,0,43,0,-2,414,59,20,3,18,FALSE
933,12667,653,714,7060,53,252,49,3,1,media,blueV,1,1,33,0,-6,379,57.95,22.73,3.41,15.91,FALSE
